iter	Passed	Remaining
0	0	38
1	0	41
2	1	40
3	1	35
4	1	35
5	2	34
6	2	33
7	2	33
8	3	33
9	3	34
10	4	34
11	4	35
12	5	34
13	5	34
14	6	34
15	6	33
16	6	33
17	7	32
18	7	31
19	7	31
20	8	31
21	8	30
22	8	30
23	9	29
24	9	29
25	10	29
26	10	29
27	11	29
28	11	28
29	12	28
30	12	28
31	13	28
32	13	27
33	14	27
34	14	27
35	15	26
36	15	26
37	15	25
38	16	25
39	16	25
40	17	24
41	17	23
42	17	23
43	18	23
44	18	22
45	18	22
46	19	21
47	19	21
48	20	21
49	21	21
50	21	20
51	21	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	18
57	24	17
58	24	17
59	25	16
60	25	16
61	25	15
62	26	15
63	26	15
64	27	14
65	27	14
66	28	13
67	28	13
68	29	13
69	29	12
70	30	12
71	30	11
72	31	11
73	31	11
74	32	10
75	32	10
76	32	9
77	33	9
78	33	8
79	34	8
80	34	8
81	35	7
82	35	7
83	36	6
84	36	6
85	37	6
86	37	5
87	37	5
88	38	4
89	38	4
90	39	3
91	39	3
92	40	3
93	40	2
94	41	2
95	41	1
96	41	1
97	42	0
98	42	0
99	43	0
