iter	Passed	Remaining
0	58	58256
1	58	29355
2	59	19716
3	59	14888
4	60	11990
5	60	10051
6	61	8665
7	61	7625
8	61	6818
9	62	6167
10	62	5637
11	63	5197
12	63	4824
13	63	4505
14	64	4230
15	64	3986
16	65	3774
17	65	3581
18	66	3410
19	66	3255
20	66	3114
21	67	2987
22	67	2872
23	68	2766
24	68	2668
25	68	2578
26	69	2495
27	69	2416
28	70	2344
29	70	2277
30	70	2213
31	71	2153
32	71	2098
33	71	2045
34	72	1996
35	72	1949
36	73	1905
37	73	1863
38	74	1825
39	74	1786
40	74	1750
41	75	1716
42	75	1684
43	76	1652
44	76	1622
45	76	1594
46	77	1567
47	77	1541
48	78	1517
49	78	1493
50	78	1469
51	79	1446
52	79	1426
53	80	1405
54	80	1384
55	80	1364
56	81	1344
57	81	1328
58	82	1310
59	82	1294
60	83	1277
61	83	1261
62	83	1246
63	84	1231
64	84	1217
65	85	1204
66	85	1190
67	85	1177
68	86	1164
69	86	1153
70	87	1141
71	87	1129
72	88	1118
73	88	1107
74	88	1096
75	89	1085
76	89	1076
77	90	1066
78	90	1055
79	91	1047
80	91	1037
81	91	1028
82	92	1017
83	92	1008
84	92	1000
85	93	992
86	93	983
87	94	975
88	94	967
89	94	960
90	95	952
91	95	945
92	96	937
93	96	930
94	97	924
95	97	917
96	97	910
97	98	904
98	98	897
99	99	891
100	99	884
101	99	878
102	100	872
103	100	866
104	101	860
105	101	855
106	101	849
107	102	844
108	102	838
109	102	832
110	103	827
111	103	822
112	104	817
113	104	812
114	104	807
115	105	802
116	105	797
117	106	793
118	106	788
119	106	784
120	107	779
121	107	774
122	108	770
123	108	766
124	108	761
125	109	757
126	109	752
127	109	748
128	110	745
129	110	741
130	111	737
131	111	734
132	112	730
133	112	726
134	112	722
135	113	719
136	113	715
137	114	712
138	114	709
139	114	705
140	115	702
141	115	697
142	115	694
143	116	690
144	116	687
145	117	684
146	117	681
147	117	678
148	118	675
149	118	672
150	119	669
151	119	666
152	120	664
153	120	661
154	120	659
155	121	656
156	121	653
157	122	650
158	122	648
159	122	645
160	123	641
161	123	639
162	123	636
163	124	634
164	124	631
165	125	629
166	125	626
167	126	624
168	126	621
169	126	619
170	127	617
171	127	614
172	128	612
173	128	610
174	128	607
175	129	605
176	129	603
177	130	601
178	130	599
179	131	596
180	131	594
181	131	592
182	132	590
183	132	588
184	133	586
185	133	583
186	133	581
187	134	579
188	134	577
189	135	575
190	135	573
191	135	571
192	136	569
193	136	568
194	137	566
195	137	564
196	137	562
197	138	560
198	138	558
199	139	556
200	139	554
201	139	552
202	140	550
203	140	549
204	141	547
205	141	545
206	141	543
207	142	542
208	142	540
209	143	538
210	143	536
211	143	535
212	144	533
213	144	531
214	145	530
215	145	528
216	145	526
217	146	524
218	146	523
219	147	521
220	147	519
221	147	517
222	148	516
223	148	514
224	148	512
225	149	511
226	149	509
227	150	507
228	150	506
229	150	504
230	151	503
231	151	501
232	151	500
233	152	498
234	152	497
235	153	496
236	153	494
237	154	493
238	154	491
239	154	490
240	155	489
241	155	487
242	156	486
243	156	485
244	157	483
245	157	482
246	157	481
247	158	480
248	158	479
249	159	478
250	159	476
251	160	475
252	160	474
253	161	474
254	161	472
255	162	471
256	162	470
257	163	469
258	163	468
259	164	467
260	164	465
261	164	464
262	165	463
263	165	462
264	166	461
265	166	459
266	167	459
267	167	458
268	168	457
269	168	455
270	168	454
271	169	453
272	169	452
273	170	450
274	170	449
275	170	448
276	171	447
277	171	446
278	172	445
279	172	444
280	173	443
281	173	442
282	174	440
283	174	439
284	174	438
285	175	437
286	175	436
287	176	435
288	176	434
289	177	433
290	177	432
291	177	431
292	178	430
293	178	428
294	179	428
295	179	427
296	180	426
297	180	425
298	181	424
299	181	423
300	181	422
301	182	421
302	182	420
303	183	419
304	183	418
305	184	417
306	184	416
307	184	415
308	185	414
309	185	413
310	186	412
311	186	411
312	187	411
313	187	410
314	188	409
315	188	408
316	189	407
317	189	406
318	189	405
319	190	404
320	190	403
321	191	402
322	191	401
323	191	400
324	192	399
325	192	398
326	193	398
327	193	397
328	194	396
329	194	395
330	195	394
331	195	394
332	196	393
333	196	392
334	197	391
335	197	390
336	198	389
337	198	389
338	199	388
339	199	387
340	200	386
341	200	385
342	200	384
343	201	384
344	201	383
345	202	382
346	202	381
347	203	380
348	203	379
349	204	378
350	204	378
351	205	377
352	205	376
353	205	375
354	206	374
355	206	373
356	207	373
357	207	372
358	208	371
359	208	371
360	209	371
361	210	370
362	210	369
363	211	368
364	211	368
365	212	367
366	212	366
367	213	366
368	213	365
369	214	364
370	214	363
371	214	362
372	215	361
373	215	361
374	216	360
375	216	359
376	217	358
377	217	357
378	217	356
379	218	356
380	218	355
381	219	354
382	219	353
383	220	352
384	220	352
385	221	351
386	221	350
387	221	350
388	222	349
389	222	348
390	223	347
391	223	347
392	224	346
393	224	345
394	224	344
395	225	343
396	225	343
397	226	342
398	226	341
399	227	340
400	227	339
401	227	339
402	228	338
403	228	337
404	229	336
405	229	336
406	230	335
407	230	334
408	230	333
409	231	332
410	231	332
411	232	331
412	232	330
413	233	329
414	233	329
415	233	328
416	234	327
417	234	326
418	234	325
419	235	324
420	235	324
421	236	323
422	236	322
423	236	321
424	237	320
425	237	320
426	238	319
427	238	318
428	238	318
429	239	317
430	239	316
431	240	315
432	240	314
433	240	314
434	241	313
435	241	312
436	242	311
437	242	311
438	242	310
439	243	309
440	243	308
441	243	308
442	244	307
443	244	306
444	245	305
445	245	305
446	246	304
447	246	304
448	247	303
449	247	302
450	247	301
451	248	301
452	248	300
453	249	299
454	249	299
455	250	298
456	250	297
457	251	297
458	251	296
459	252	295
460	252	295
461	252	294
462	253	293
463	253	293
464	254	292
465	254	291
466	255	291
467	255	290
468	255	289
469	256	289
470	256	288
471	257	287
472	257	287
473	258	286
474	258	286
475	259	285
476	259	284
477	260	284
478	260	283
479	261	282
480	261	282
481	261	281
482	262	280
483	262	280
484	263	279
485	263	279
486	264	278
487	264	277
488	265	277
489	265	276
490	266	275
491	266	275
492	266	274
493	267	274
494	267	273
495	268	272
496	268	272
497	269	271
498	269	270
499	270	270
500	270	269
501	271	269
502	271	268
503	272	268
504	273	267
505	273	267
506	274	266
507	274	265
508	274	265
509	275	264
510	276	264
511	276	263
512	277	263
513	277	262
514	278	262
515	278	261
516	279	260
517	279	260
518	280	259
519	280	259
520	281	258
521	281	258
522	282	257
523	283	257
524	283	256
525	284	256
526	284	255
527	285	254
528	285	254
529	286	253
530	286	253
531	287	252
532	287	252
533	288	251
534	288	250
535	289	250
536	289	249
537	290	249
538	290	248
539	291	248
540	291	247
541	292	247
542	293	246
543	294	246
544	294	245
545	294	245
546	295	244
547	296	244
548	296	243
549	297	243
550	297	242
551	298	241
552	298	241
553	299	240
554	299	240
555	300	239
556	300	239
557	301	238
558	302	238
559	303	238
560	303	237
561	304	237
562	304	236
563	305	235
564	305	235
565	306	234
566	306	234
567	307	233
568	307	233
569	308	232
570	309	232
571	309	231
572	310	231
573	310	230
574	311	230
575	312	229
576	312	229
577	312	228
578	313	227
579	313	227
580	314	226
581	314	226
582	315	225
583	315	224
584	316	224
585	317	224
586	317	223
587	318	223
588	319	223
589	320	222
590	320	221
591	321	221
592	321	220
593	322	220
594	322	219
595	323	219
596	323	218
597	324	217
598	324	217
599	325	216
600	325	216
601	325	215
602	326	214
603	326	214
604	327	213
605	327	213
606	328	212
607	329	212
608	329	211
609	330	211
610	330	210
611	331	210
612	331	209
613	332	208
614	332	208
615	333	207
616	333	207
617	334	206
618	334	205
619	335	205
620	335	204
621	336	204
622	336	203
623	337	203
624	337	202
625	338	202
626	339	201
627	339	201
628	340	200
629	340	200
630	341	199
631	341	199
632	342	198
633	343	198
634	343	197
635	344	197
636	345	196
637	345	196
638	346	195
639	346	195
640	347	194
641	348	194
642	348	193
643	349	193
644	349	192
645	350	191
646	350	191
647	350	190
648	351	190
649	351	189
650	352	188
651	352	188
652	353	187
653	354	187
654	354	186
655	355	186
656	355	185
657	356	185
658	356	184
659	357	183
660	357	183
661	358	182
662	358	182
663	359	181
664	359	181
665	360	180
666	360	180
667	361	179
668	361	179
669	362	178
670	363	177
671	363	177
672	364	176
673	364	176
674	365	175
675	365	175
676	366	174
677	367	174
678	367	173
679	368	173
680	368	172
681	369	172
682	369	171
683	370	171
684	370	170
685	371	170
686	372	169
687	372	169
688	373	168
689	374	168
690	374	167
691	375	167
692	376	166
693	377	166
694	378	166
695	379	165
696	379	165
697	380	164
698	380	164
699	381	163
700	382	163
701	382	162
702	383	162
703	384	161
704	384	161
705	385	160
706	386	160
707	387	159
708	387	159
709	388	158
710	388	158
711	389	157
712	390	157
713	390	156
714	391	155
715	391	155
716	392	154
717	393	154
718	393	153
719	394	153
720	394	152
721	395	152
722	395	151
723	396	151
724	396	150
725	397	149
726	397	149
727	398	148
728	399	148
729	399	147
730	400	147
731	401	146
732	401	146
733	401	145
734	402	145
735	403	144
736	403	143
737	403	143
738	404	142
739	404	142
740	413	144
741	413	143
742	414	143
743	414	142
744	415	142
745	416	141
746	416	141
747	417	140
748	417	139
749	418	139
750	418	138
751	418	138
752	419	137
753	419	136
754	420	136
755	420	135
756	420	135
757	421	134
758	421	133
759	422	133
760	422	132
761	422	132
762	423	131
763	423	130
764	424	130
765	424	129
766	425	129
767	425	128
768	426	128
769	426	127
770	426	126
771	427	126
772	427	125
773	428	125
774	428	124
775	428	123
776	429	123
777	429	122
778	430	122
779	430	121
780	431	120
781	431	120
782	432	119
783	432	119
784	432	118
785	433	117
786	433	117
787	434	116
788	434	116
789	434	115
790	435	115
791	435	114
792	436	113
793	436	113
794	436	112
795	437	112
796	437	111
797	438	110
798	438	110
799	439	109
800	439	109
801	440	108
802	440	108
803	440	107
804	441	106
805	441	106
806	442	105
807	442	105
808	443	104
809	443	104
810	443	103
811	444	102
812	444	102
813	445	101
814	445	101
815	446	100
816	446	100
817	447	99
818	447	98
819	448	98
820	448	97
821	449	97
822	449	96
823	449	96
824	450	95
825	450	94
826	451	94
827	451	93
828	451	93
829	452	92
830	452	92
831	453	91
832	453	90
833	453	90
834	454	89
835	454	89
836	455	88
837	455	88
838	456	87
839	456	86
840	456	86
841	457	85
842	457	85
843	457	84
844	458	84
845	458	83
846	459	82
847	459	82
848	459	81
849	460	81
850	460	80
851	461	80
852	461	79
853	462	79
854	463	78
855	463	77
856	464	77
857	464	76
858	464	76
859	465	75
860	465	75
861	466	74
862	466	74
863	466	73
864	467	72
865	467	72
866	468	71
867	468	71
868	468	70
869	469	70
870	469	69
871	470	69
872	470	68
873	471	67
874	471	67
875	471	66
876	472	66
877	472	65
878	473	65
879	473	64
880	473	64
881	474	63
882	474	62
883	475	62
884	475	61
885	475	61
886	476	60
887	476	60
888	477	59
889	477	59
890	478	58
891	478	57
892	479	57
893	479	56
894	479	56
895	480	55
896	480	55
897	481	54
898	481	54
899	481	53
900	482	52
901	482	52
902	483	51
903	483	51
904	483	50
905	484	50
906	484	49
907	485	49
908	485	48
909	486	48
910	486	47
911	487	46
912	487	46
913	487	45
914	488	45
915	488	44
916	489	44
917	489	43
918	489	43
919	490	42
920	490	42
921	490	41
922	491	40
923	491	40
924	492	39
925	492	39
926	493	38
927	493	38
928	494	37
929	494	37
930	494	36
931	495	36
932	495	35
933	496	35
934	496	34
935	497	33
936	497	33
937	498	32
938	498	32
939	499	31
940	499	31
941	500	30
942	500	30
943	501	29
944	501	29
945	502	28
946	502	28
947	518	28
948	518	27
949	519	27
950	519	26
951	536	27
952	537	26
953	546	26
954	547	25
955	553	25
956	553	24
957	554	24
958	558	23
959	559	23
960	560	22
961	560	22
962	561	21
963	562	20
964	563	20
965	563	19
966	564	19
967	565	18
968	567	18
969	568	17
970	568	16
971	569	16
972	570	15
973	574	15
974	574	14
975	575	14
976	575	13
977	576	12
978	577	12
979	577	11
980	578	11
981	579	10
982	579	10
983	580	9
984	581	8
985	582	8
986	582	7
987	583	7
988	584	6
989	584	5
990	585	5
991	586	4
